flux_indicator_id,flux_indicator_name,pool_id,pool_name
8,DisturbanceDOMCH4Emssion,17,BelowGroundSlowSoil
8,DisturbanceDOMCH4Emssion,18,SoftwoodStemSnag
8,DisturbanceDOMCH4Emssion,19,SoftwoodBranchSnag
8,DisturbanceDOMCH4Emssion,20,HardwoodStemSnag
8,DisturbanceDOMCH4Emssion,21,HardwoodBranchSnag
9,DisturbanceDOMCOEmission,11,AboveGroundVeryFastSoil
9,DisturbanceDOMCOEmission,12,BelowGroundVeryFastSoil
9,DisturbanceDOMCOEmission,13,AboveGroundFastSoil
9,DisturbanceDOMCOEmission,14,BelowGroundFastSoil
9,DisturbanceDOMCOEmission,15,MediumSoil
9,DisturbanceDOMCOEmission,16,AboveGroundSlowSoil
9,DisturbanceDOMCOEmission,17,BelowGroundSlowSoil
9,DisturbanceDOMCOEmission,18,SoftwoodStemSnag
9,DisturbanceDOMCOEmission,19,SoftwoodBranchSnag
9,DisturbanceDOMCOEmission,20,HardwoodStemSnag
9,DisturbanceDOMCOEmission,21,HardwoodBranchSnag
10,DecayDOMCOEmission,11,AboveGroundVeryFastSoil
10,DecayDOMCOEmission,12,BelowGroundVeryFastSoil
10,DecayDOMCOEmission,13,AboveGroundFastSoil
10,DecayDOMCOEmission,14,BelowGroundFastSoil
10,DecayDOMCOEmission,15,MediumSoil
10,DecayDOMCOEmission,16,AboveGroundSlowSoil
10,DecayDOMCOEmission,17,BelowGroundSlowSoil
10,DecayDOMCOEmission,18,SoftwoodStemSnag
10,DecayDOMCOEmission,19,SoftwoodBranchSnag
10,DecayDOMCOEmission,20,HardwoodStemSnag
10,DecayDOMCOEmission,21,HardwoodBranchSnag
11,SoftProduction,1,SoftwoodMerch
11,SoftProduction,2,SoftwoodFoliage
11,SoftProduction,3,SoftwoodOther
11,SoftProduction,4,SoftwoodCoarseRoots
11,SoftProduction,5,SoftwoodFineRoots
12,HardProduction,6,HardwoodMerch
13,HardProduction,7,HardwoodFoliage
14,HardProduction,8,HardwoodOther
15,HardProduction,9,HardwoodCoarseRoots
16,HardProduction,10,HardwoodFineRoots
13,SoftDomProduction,18,SoftwoodStemSnag
13,SoftDomProduction,19,SoftwoodBranchSnag
14,HardDomProduction,20,HardwoodStemSnag
14,HardDomProduction,21,HardwoodBranchSnag
15,DeltaBiomass_AG,0,Input
16,DeltaBiomass_BG,0,Input
17,DisturbanceBiomassToSoil,1,SoftwoodMerch
17,DisturbanceBiomassToSoil,2,SoftwoodFoliage
17,DisturbanceBiomassToSoil,3,SoftwoodOther
17,DisturbanceBiomassToSoil,4,SoftwoodCoarseRoots
17,DisturbanceBiomassToSoil,5,SoftwoodFineRoots
17,DisturbanceBiomassToSoil,6,HardwoodMerch
17,DisturbanceBiomassToSoil,7,HardwoodFoliage
17,DisturbanceBiomassToSoil,8,HardwoodOther
17,DisturbanceBiomassToSoil,9,HardwoodCoarseRoots
17,DisturbanceBiomassToSoil,10,HardwoodFineRoots
18,SoftwoodMerchTurnover,1,SoftwoodMerch
19,HardwoodMerchTurnover,6,HardwoodMerch
20,SoftwoodFoliageTurnover,2,SoftwoodFoliage
21,HardwoodFoliageTurnover,7,HardwoodFoliage
22,SoftwoodOtherTurnover,3,SoftwoodOther
23,HardwoodOtherTurnover,8,HardwoodOther
24,SoftwoodCoarseRootTurnover,4,SoftwoodCoarseRoots
25,HardwoodCoarseRootTurnover,9,HardwoodCoarseRoots
26,SoftwoodFineRootTurnover,5,SoftwoodFineRoots
27,HardwoodFineRootTurnover,10,HardwoodFineRoots
28,DecayVFastAGToAir,11,AboveGroundVeryFastSoil
29,DecayVFastBGToAir,12,BelowGroundVeryFastSoil
30,DecayFastAGToAir,13,AboveGroundFastSoil
31,DecayFastBGToAir,14,BelowGroundFastSoil
32,DecayMediumToAir,15,MediumSoil
33,DecaySlowAGToAir,16,AboveGroundSlowSoil
34,DecaySlowBGToAir,17,BelowGroundSlowSoil
35,DecaySWStemSnagToAir,18,SoftwoodStemSnag
36,DecaySWBranchSnagToAir,19,SoftwoodBranchSnag
37,DecayHWStemSnagToAir,20,HardwoodStemSnag
38,DecayHWBranchSnagToAir,21,HardwoodBranchSnag
39,DisturbanceVFastAGToAir,11,AboveGroundVeryFastSoil
40,DisturbanceVFastBGToAir,12,BelowGroundVeryFastSoil
41,DisturbanceFastAGToAir,13,AboveGroundFastSoil
42,DisturbanceFastBGToAir,14,BelowGroundFastSoil
43,DisturbanceMediumToAir,15,MediumSoil
44,DisturbanceSlowAGToAir,16,AboveGroundSlowSoil
45,DisturbanceSlowBGToAir,17,BelowGroundSlowSoil
46,DisturbanceSWStemSnagToAir,18,SoftwoodStemSnag
47,DisturbanceSWBranchSnagToAir,19,SoftwoodBranchSnag
48,DisturbanceHWStemSnagToAir,20,HardwoodStemSnag
49,DisturbanceHWBranchSnagToAir,21,HardwoodBranchSnag
50,GrossGrowth_AG,0,Input
50,GrossGrowth_AG,1,SoftwoodMerch
50,GrossGrowth_AG,2,SoftwoodFoliage
50,GrossGrowth_AG,3,SoftwoodOther
50,GrossGrowth_AG,6,HardwoodMerch
50,GrossGrowth_AG,7,HardwoodFoliage
50,GrossGrowth_AG,8,HardwoodOther
51,GrossGrowth_BG,0,Input
51,GrossGrowth_BG,4,SoftwoodCoarseRoots
51,GrossGrowth_BG,5,SoftwoodFineRoots
51,GrossGrowth_BG,9,HardwoodCoarseRoots
51,GrossGrowth_BG,10,HardwoodFineRoots
